,aircraft,airport
0,TranspCom#3,ORY
1,TranspCom#1,CDG
2,TranspCom#4,ORY
3,TranspCom#2,CDG
4,ERJ135#2,LEH
5,CRJ700#1,TLS
6,CRJ700#2,RNS
7,A319#1,BES
8,F100#4,BES
9,F100#5,PUF
10,ERJ145#4,CFR
11,A320#23,MRS
12,ERJ145#1,AVN
13,F100#6,RNS
14,A320#15,MLH
15,BAE300#1,LIG
16,A320#1,BES
17,A319#16,MRS
18,ERJ145#3,CFE
19,A320#6,NTE
20,A320#14,LIG
21,A319#2,PUF
22,A319#3,MPL
23,A320#22,NCE
24,BAE200#1,RDZ
25,A320#7,TLS
26,A318#1,CFE
27,ERJ145#5,NCE
28,A320#20,NTE
29,CRJ100#2,LIL
30,CRJ700#3,NCE
31,A319#6,TLN
32,BAE300#2,UIP
33,A320#8,ORY
34,F100#2,SXB
35,A321#1,TLS
36,A320#12,BIQ
37,CRJ100#4,BOD
38,A321#2,LYS
39,A320#2,AJA
40,A319#15,MPL
41,A320#3,BIA
42,BAE300#3,SXB
43,F100#1,BES
44,BAE200#3,LRT
45,A318#8,ORY
46,A318#4,NCE
47,A319#10,TLS
48,A320#4,MLH
49,A318#6,BOD
50,A320#10,TLS
51,A318#7,BIQ
52,A319#4,CDG
53,A319#17,CDG
54,A321#4,CDG
55,A319#18,LYS
56,A319#5,ORY
57,A320#24,NCE
58,A321#3,CDG
59,A320#5,MRS
60,ERJ145#2,LDE
61,A319#11,ORY
62,A320#21,MRS
63,A320#19,ORY
64,A320#11,TLS
65,CRJ100#3,RNS
66,A320#9,ORY
67,A318#2,ETZ
68,A319#8,SXB
69,A318#5,ORY
70,BAE200#2,RNS
71,A318#3,NTE
72,A319#14,ORY
73,A320#16,BOD
74,A319#7,ORY
75,F100#3,NTE
76,A319#13,ORY
77,ERJ135#1,FSC
78,A320#17,MRS
79,A320#18,BOD
80,A319#12,ORY
81,A321#5,MPL
82,CRJ100#1,TLS
83,A319#9,ORY
84,A320#13,SXB
